seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
YH-BYN6AA004G56	B01KLT1CJ2	B01KLT1CJ2	NewItem	SELLABLE	16
YH-BYN7SC002AB5	B01N4IZ24M	B01N4IZ24M	NewItem	SELLABLE	5
YH-BYN7SC012R98	B01MZBF2NV	B01MZBF2NV	NewItem	SELLABLE	0
YH-BYN6AW015AW5	B01LXRWMZE	B01LXRWMZE	NewItem	SELLABLE	51
BX-XEKL-FHX3	B01JY2KZY0	B01JY2KZY0	NewItem	SELLABLE	19
YH-BYN7SC013AO4	B01MR743PJ	B01MR743PJ	NewItem	SELLABLE	0
YH-BYN6AA004G52	B01KLT1CI8	B01KLT1CI8	NewItem	SELLABLE	16
YH-BYN6AC035B12	B01LQ4IU00	B01LQ4IU00	NewItem	SELLABLE	24
YH-BYN6AC034GO5	B01M6C1MNU	B01M6C1MNU	NewItem	SELLABLE	25
YH--BYN6AA010A32	B01LXIB0XJ	B01LXIB0XJ	NewItem	SELLABLE	2
YH-BYN6AC034RO5	B01M3XYRBR	B01M3XYRBR	NewItem	SELLABLE	15
YH-BY4834PU5WS0	B01MFZV6AO	B01MFZV6AO	NewItem	SELLABLE	49
YH-BYN6AC031N02	B01LX0437R	B01LX0437R	NewItem	SELLABLE	24
YH-BYN6AS018A25	B01M36COGG	B01M36COGG	NewItem	SELLABLE	31
YH-BYN6AS018A22	B01M9K3DSX	B01M9K3DSX	NewItem	SELLABLE	29
YH-BY483493563Y	B01LZIH9EX	B01LZIH9EX	NewItem	SELLABLE	0
YH-BY4834FF0320	B01MD26YG8	B01MD26YG8	NewItem	SELLABLE	17
NB-5X2L-TG1L	B01K1ULNKE	B01K1ULNKE	NewItem	SELLABLE	55
YH-BYN6AA004G57	B01KLT1CKQ	B01KLT1CKQ	NewItem	SELLABLE	14
YH-BYN7SC003NA4	B01N6LPETY	B01N6LPETY	NewItem	SELLABLE	20
YH-BY483443L5DO	B01NBRKSBH	B01NBRKSBH	NewItem	SELLABLE	10
YH--BYN6AS013BN4	B01LXTXI9M	B01LXTXI9M	NewItem	SELLABLE	19
YH-BYN6AW016A35	B01MA54E91	B01MA54E91	NewItem	SELLABLE	0
YH-BYN6AC028W03	B01LYX795F	B01LYX795F	NewItem	SELLABLE	20
YH-BYN7SC003AG1	B01N5KY9YI	B01N5KY9YI	NewItem	SELLABLE	40
YH-BYE6QK005N02	B01LXO04KZ	B01LXO04KZ	NewItem	SELLABLE	202
YH-BYE6QK005N02	B01LXO04KZ	B01LXO04KZ	NewItem	UNSELLABLE	1
YH--BYN6AS013AB5	B01LX6K8V4	B01LX6K8V4	NewItem	SELLABLE	12
YH-BY4834S5GV0W	B01M0LUZMS	B01M0LUZMS	NewItem	SELLABLE	10
YH-BYN6AA004G54	B01KLT1CK6	B01KLT1CK6	NewItem	SELLABLE	17
YH-BYN6AA003NW8	B01MT2SVR3	B01MT2SVR3	NewItem	SELLABLE	20
KV-61YK-FP2Q	B01K6J1WHO	B01K6J1WHO	NewItem	SELLABLE	69
KV-61YK-FP2Q	B01K6J1WHO	B01K6J1WHO	NewItem	UNSELLABLE	4
YH-BY483420J5O5	B01LYBWEI4	B01LYBWEI4	NewItem	SELLABLE	12
YH-BYN6AA003Y26	B01LY5JMJ2	B01LY5JMJ2	NewItem	SELLABLE	14
CL-BYN6AC001B32	B01JODSTOW	B01JODSTOW	NewItem	SELLABLE	37
YH-BYN7SC004BA7	B01MS7K5UU	B01MS7K5UU	NewItem	SELLABLE	50
YH-BYN6AC034GO2	B01M6C1OTV	B01M6C1OTV	NewItem	SELLABLE	39
YH-BYE6QK005A34	B01LXO06R4	B01LXO06R4	NewItem	SELLABLE	51
YH-BYN6AC034RO2	B01M9J0A3Y	B01M9J0A3Y	NewItem	SELLABLE	36
YH-BYN6AA017BO2	B01MDUEDFO	B01MDUEDFO	NewItem	SELLABLE	32
YH-BYN6AC025WN5	B01LYKYUJJ	B01LYKYUJJ	NewItem	SELLABLE	15
YH-BYN6AS019W04	B01N3TDQZS	B01N3TDQZS	NewItem	SELLABLE	38
YH-BYE6QK005A32	B01LYN7D9N	B01LYN7D9N	NewItem	SELLABLE	193
YH-BYN7SC003NA3	B01N5KY6RP	B01N5KY6RP	NewItem	SELLABLE	31
YH-BYN6AC026CN3	B01LYL0MYW	B01LYL0MYW	NewItem	SELLABLE	41
YH-BYN6AW021NO5	B01MRHLT60	B01MRHLT60	NewItem	SELLABLE	19
YH--BYN6AS013AB4	B01LX6JIYG	B01LX6JIYG	NewItem	SELLABLE	19
YH-BY48342131D4	B01LATU4LY	B01LATU4LY	NewItem	SELLABLE	45
YH-BYN7SC012G23	B01MUCBBOP	B01MUCBBOP	NewItem	SELLABLE	0
YH-BYN6AC026CN2	B01LYL0MYV	B01LYL0MYV	NewItem	SELLABLE	29
YH-BYN7SC001BN4	B01MSA36K7	B01MSA36K7	NewItem	SELLABLE	29
YH-BY48345BC9S5	B01M588HVI	B01M588HVI	NewItem	SELLABLE	0
YH-BYN6AS019A25	B01N90VTCZ	B01N90VTCZ	NewItem	SELLABLE	30
YH-BYN6AH009B04	B01LYV4J21	B01LYV4J21	NewItem	SELLABLE	13
YH--BYN6AS013NR3	B01M0RHZS6	B01M0RHZS6	NewItem	SELLABLE	9
YH--BYN6AA010A12	B01M0409OJ	B01M0409OJ	NewItem	SELLABLE	1
YH--BYN6AA010A12	B01M0409OJ	B01M0409OJ	NewItem	UNSELLABLE	1
YH-BYN6AC028B32	B01LYLG2F1	B01LYLG2F1	NewItem	SELLABLE	15
BYN6AW021NO4	B01MRHLS6A	B01MRHLS6A	NewItem	SELLABLE	20
YH-BYN6AC026KN5	B01M0V0ZF3	B01M0V0ZF3	NewItem	SELLABLE	24
YH-BYN7SC011BN3	B01MTAKJ9Z	B01MTAKJ9Z	NewItem	SELLABLE	0
